"","Row.names","vectorbase.RU","display.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","gene1001","AAEL006751","",2209.67171642574,-0.292016082802359,0.0715741753596261,-4.07990844931314,4.50534411583046e-05,0.000833456341886915
"2","gene10050","AAEL002128","",178.041370199239,-0.651418278853914,0.216239478879654,-3.01248542693933,0.00259117877096655,0.0252919447939763
"3","gene10057","AAEL002130","",7905.87364892641,1.5092029613832,0.224617958051685,6.71897730027415,1.83004412480257e-11,1.20390759924512e-09
"4","gene1006","AAEL006741","",30861.9669683221,-0.223291511669012,0.079025481971455,-2.82556342711921,0.00471975427265153,0.0406794863580005
"5","gene10070","AAEL014762","",11117.9377264605,-0.454627895692672,0.172957881913556,-2.62854685003539,0.00857505427417558,0.0636172323424741
"6","gene10075","AAEL018268","",3686.8607370676,0.35552237280009,0.132101534670666,2.69128117009709,0.00711781774401119,0.0557238263456468
"7","gene10078","AAEL006339","",1155.95684798784,-0.951962157727292,0.112970006139853,-8.42668058766671,3.55608827482571e-17,4.28525254351427e-15
"8","gene10089","AAEL006341","",4801.68866739482,-0.44611213935756,0.173838113281736,-2.56625046680387,0.0102804564594864,0.0729533327400208
"9","gene10103","AAEL006353","",272.259271605768,-1.05794297903299,0.279467463965031,-3.78556760784635,0.000153358131961432,0.00244425185848048
"10","gene10106","AAEL006335","",23.5537235524308,1.16902717343047,0.434981525536704,2.68753292910097,0.00719820045358607,0.0562196762297582
"11","gene10121","AAEL006798","",2789.43730387835,-1.01341618920421,0.150324020535198,-6.74154526732415,1.56710894422532e-11,1.04156199622893e-09
"12","gene10122","AAEL018123","",7519.51244827195,0.918898648560196,0.145377678035575,6.3207685043321,2.6026567486847e-10,1.452755676084e-08
"13","gene10124","AAEL006793","",41191.3522230149,-0.514136523468394,0.135061672300571,-3.80667967981483,0.000140844975436929,0.00226723484804465
"14","gene10125","AAEL006794","",9895.34105359659,-0.446180124910922,0.164365508570188,-2.71456054735712,0.0066363767905264,0.0528859400837697
"15","gene10126","AAEL006811","",3575.87876175788,-0.592726399419838,0.199252278736441,-2.97475342906297,0.00293224135453015,0.0277390462401407
"16","gene10131","AAEL006792","",3840.96766400988,-0.274618550674664,0.111687453720535,-2.45881288834658,0.01393972485786,0.0924582367887069
"17","gene10134","AAEL006802","",1572.62702226967,-0.39622409228782,0.162054387427283,-2.44500688057961,0.0144849378510235,0.0949510872654282
"18","gene10139","AAEL018124","",940.410450601824,-0.553026211700176,0.138408081806405,-3.99562080828278,6.45249425288748e-05,0.00114440799032643
"19","gene10141","AAEL006797","",71.3097881961844,-0.80537826096453,0.244866295592328,-3.28905315048089,0.00100525038489613,0.0117167012638725
"20","gene10144","AAEL018030","",1518.66186859057,-0.407178740993371,0.147847522788911,-2.75404506827429,0.00588636617751301,0.0484666701742355
"21","gene10146","AAEL007590","",2043.37869517516,-7.42757238781392,0.312986127839431,-23.7313149917764,1.71350545111373e-124,5.52348482166511e-121
"22","gene10159","AAEL007599","",11784.9046108787,-7.6384741708985,0.268286368349336,-28.471346561121,2.65233306657545e-178,3.41991825604238e-174
"23","gene10161","AAEL007585","",21086.8818662301,-6.51004330778638,0.464725953376848,-14.0083489215145,1.38589600843805e-44,8.12261051490921e-42
"24","gene10173","AAEL004540","",4415.08802249713,0.524306968452644,0.174489884701062,3.00479864119855,0.00265756721608645,0.0257257294926567
"25","gene10174","AAEL004526","",446.966602222162,0.485913698791176,0.122648880093586,3.96182744123228,7.43782892307338e-05,0.00129774514389862
"26","gene10175","AAEL004513","",2451.50551966234,-0.631685804694909,0.157821722489405,-4.00252762883965,6.26693467231332e-05,0.00111764668969306
"27","gene10178","AAEL004524","",9872.91684633994,1.38750363106033,0.174812353400848,7.9371028652578,2.06958405492934e-15,1.968996532904e-13
"28","gene10180","AAEL004518","",2881.45312860265,0.994487450288749,0.1608782077644,6.18161691448689,6.34483438398245e-10,3.38059068376321e-08
"29","gene10189","AAEL004532","",3104.86192875374,-0.361006316750487,0.101482418623312,-3.55732866488421,0.00037464530119458,0.00523934545943916
"30","gene10190","AAEL004529","",2303.53395191405,-0.688313797290232,0.086659646325064,-7.94272566851171,1.97786062734979e-15,1.90317424843643e-13
"31","gene10192","AAEL004521","",75796.1977269741,0.330019656773934,0.0756767275426383,4.36091342068131,1.29520612650279e-05,0.000284989552817867
"32","gene10196","AAEL004523","",9970.97737323805,0.734349798327857,0.154584086857839,4.75048766826296,2.02926670034689e-06,5.41725980005648e-05
"33","gene10202","AAEL011821","",689.230708433148,0.412322576487434,0.134372223093452,3.06851049268326,0.00215128773594786,0.0218318245803682
"34","gene10204","AAEL010397","",261.094570701359,1.20455677421888,0.213948140157679,5.6301343556019,1.80069295915473e-08,7.40434658615982e-07
"35","gene10215","AAEL005641","",294.100222979517,1.13825433885067,0.366758736694828,3.10355071322483,0.00191213461091408,0.0199474625187105
"36","gene10220","AAEL003568","",125.379939735399,1.67564815242139,0.317969973042634,5.26983141328477,1.36549115578106e-07,4.69510479003761e-06
"37","gene10232","AAEL003569","",3417.78761807928,0.460855292329161,0.12960485689607,3.55584893472565,0.000376760529578385,0.00525752193548019
"38","gene10235","AAEL012776","",178.092666331319,-2.04243713374666,0.315476884275968,-6.47412611048867,9.53622317596166e-11,5.56380369370361e-09
